latitude,longitude
40.7691464658,-73.9823681116
40.7825737,-73.9514465
40.7532692,-73.9749069
40.7620566327,-73.9874482155
40.70433,-74.013235
40.755108,-73.986237
40.7032927525,-74.0141397774
40.7145250775,-73.8314187527
40.7623749,-73.9657593
40.753876,-73.978859
40.7520896941,-73.9753722399
40.7949905,-73.9656372
40.7956757708,-73.9657079452
40.7775879,-73.9785385
40.6918285152,-73.9885532856
40.7181168,-74.0073547
40.6061333627,-73.9733505249
40.7593333373,-73.9528825762
40.7621803,-73.9833679
40.7553482,-73.9908218
40.7811966,-73.9809265
40.8092003,-73.9485092
40.761018768,-73.9795377105
40.7087016106,-74.0094208717
40.730846405,-73.9832458496
40.7308502197,-73.9832458496
40.730846405,-73.9832458496
40.7140312195,-74.0158843994
40.710311,-74.008087
40.7189598,-74.0026398
40.7714385986,-73.9822692871
40.707127,-74.004967
40.7504374534,-73.9768521488
40.7550812,-73.9687119
40.7518539,-73.9901352
40.7938021082,-73.9728245885
40.7388802,-74.0022964
40.7417531302,-74.0045457374
40.762943,-73.97242
40.7871666,-73.9543991
40.7796413451,-73.9555446804
40.77922,-73.94723
40.7157250844,-74.0030362738
40.7140312195,-74.0158843994
40.7515869,-73.9924164
40.7469711,-73.9932327
40.8092003,-73.9485092
40.7786683738,-73.956117332
40.7871666,-73.9544067
40.7577091081,-73.9851029378
40.7535095,-73.9881897
40.7505035,-73.9920807
40.7543555153,-73.976208209
40.7641119883,-73.9789419373
40.750747,-73.979354
40.70433,-74.013235
40.8046608,-73.9666367
40.7618717104,-73.9683783799
40.7609863281,-73.9700088501
40.7522697,-73.9869385
40.7390441895,-73.9840011597
40.7618410709,-73.979644671
40.7492698674,-73.9895766195
40.7370685928,-73.8773106784
40.7370685928,-73.8773106784
40.7580868084,-73.9922600985
40.7200953501,-73.8414233923
40.7580868084,-73.9922600985
40.7416612,-73.9806059
40.7569916,-73.9760433
40.7420595735,-73.9807118475
40.6775106867,-73.9730505315
40.5216608847,-74.2350791395
40.741843,-73.993232
40.712459,-74.008323
40.8098037744,-73.9599444607
40.7593333373,-73.9528825762
40.7093822405,-74.0138605252
40.7647221,-73.9664079
40.8510444961,-73.9384103737
40.7646358928,-73.9663699599
40.7371088345,-73.9904780319
40.6913719,-73.9845505
40.7591288594,-73.9795772589
40.755108,-73.986237
40.750473,-73.9890823
40.7182026654,-74.0001209825
40.7405776,-73.9840958
40.7630619,-73.9738326
40.7647108287,-73.9769795537
40.7711983,-73.9570313
40.704792,-74.007255
40.7301292,-73.9917679
40.7181168,-74.0073547
40.7089195,-74.0114594
40.8071250916,-73.9649734497
40.6894204845,-73.9809537883
40.6087591683,-73.9586194977
40.7368555,-73.9785415
40.741844,-73.993233
40.741844,-73.993233
40.744357026,-73.9949282685
40.7388802,-74.0022964
40.721324,-74.000633
40.7466945949,-73.9809353542
40.736991,-73.996664
40.7442589,-73.9837494
40.707127,-74.004967
40.7639008,-73.9854507
40.750119,-73.9748094
40.7442589,-73.9837494
40.80780855,-73.9451249567
40.7695084,-73.9849701
40.7713508606,-73.9826812744
40.8233369313,-73.9426781189
40.7586812426,-73.9709530566
40.7597995407,-73.974507669
40.7967627291,-73.9705664139
40.7967377637,-73.9705479277
40.6087591683,-73.9586194977
40.749073,-73.983703
40.8655743,-73.9272707
40.866009,-73.926976
40.750473,-73.9890823
40.7740294933,-73.9595063031
40.8046608,-73.9666367
40.7536087897,-73.9782723784
40.7603180408,-73.9613898844
40.7586812426,-73.9709530566
40.7587852,-73.9925766
40.6507550174,-73.7915658207
40.756771,-73.985634
40.7435853108,-73.9921631884
40.7489128113,-73.9925537109
40.7095906689,-74.0105507379
40.7513618,-73.9905396
40.8198855287,-73.9501616147
40.7543555153,-73.976208209
40.7762002757,-73.9109428434
40.7605095,-73.9869995
40.7794154,-73.9537139
40.8731231689,-73.9085922241
40.7109008326,-74.0102491363
40.7060834027,-74.0087931921
40.7657623,-73.9576797
40.7892342,-73.9754181
40.7580868084,-73.9922600985
40.7513466,-73.9778824
40.7698840124,-73.9546626068
40.765949,-73.963714
40.7710991,-73.956871
40.7774315,-73.9551849
40.7596019128,-73.9852481553
40.738781,-73.9835205
40.7580868084,-73.9922600985
40.866009,-73.926976
40.7579403,-74.0025396
40.74843,-73.98565
40.7411995,-74.0009995
40.7182026654,-74.0001209825
40.7182026654,-74.0001209825
40.7307789588,-74.0025995955
40.7550812,-73.9687119
40.74843,-73.98565
40.71556,-74.008845
40.744357026,-73.9949282685
40.7576674897,-73.9707964458
40.7515793,-73.9733276
40.7710991,-73.956871
40.751774,-73.979446
40.8510444961,-73.9384103737
40.726868,-74.000282
40.755108,-73.986237
40.7405281,-73.9843216
40.71556,-74.008845
40.7083473206,-74.007194519
40.732964,-73.999664
40.7550812,-73.9687119
40.7523117,-73.9752197
40.7155207528,-74.008981694
40.7275615633,-74.0073414892
40.7198874398,-74.0050936087
40.7591286,-73.9795837
40.7442589,-73.9837494
40.7478294,-73.9957199
40.7295289176,-73.996312873
40.8195475,-73.9495176
40.706799,-74.009725
40.7116370156,-74.0067300015
40.7618717104,-73.9683783799
40.7404060364,-73.9914169312
40.7609863281,-73.9700088501
40.756962,-73.975906
40.7134008408,-74.0092170238
40.750473,-73.9890823
40.7087016106,-74.0094208717
40.7492698674,-73.9895766195
40.7489128113,-73.9925537109
40.761463,-73.973503
40.8071250916,-73.9649734497
40.705276,-74.011047
40.753502,-73.988167
40.750473,-73.9890823
40.7591286,-73.9795837
40.710651,-74.015526
40.7614271854,-73.9678380539
40.71556,-74.008845
40.7606086731,-73.9784317017
40.8092003,-73.9485092
40.7098309,-74.0147441
40.7557005676,-73.9802900451
40.7577091081,-73.9851029378
40.7776298554,-73.9825652443
40.7301292,-73.9917679
40.719348,-73.98986
40.732964,-73.999664
40.7584717705,-73.9865469323
40.7416612,-73.9806059
40.7691154,-73.9882126
40.7023125,-74.0114975
40.7120295305,-74.0162999882
40.7076689311,-74.011518588
40.7575824369,-73.9692950249
40.7076689311,-74.011518588
40.7307789588,-74.0025995955
40.7957382,-73.9323273
40.7511024,-73.9756165
40.75501,-73.98376
40.7509803022,-73.9871525019
40.7497711182,-73.9731826782
40.7400748,-73.9867735
40.7380304,-73.9882869
40.7489289,-73.9828063
40.7636642,-73.9824753
40.8009135129,-73.9597569684
40.7490921,-73.9904251
40.7794154,-73.9537139
40.7363082382,-73.9910614863
40.7553482,-73.9908218
40.7363082382,-73.9910614863
40.7076689311,-74.011518588
40.7480757684,-73.9856571704
40.7503474888,-73.987932463
40.712459,-74.008323
40.7503474888,-73.987932463
40.75019,-74.00397
40.733112,-74.0027
40.7657215004,-73.9863967896
40.7760549,-73.9501666
40.75501,-73.98376
40.7529899,-73.98503
40.75946,-73.97002
40.7571932,-73.9891559
40.75682,-73.981849
40.7275615633,-74.0073414892
